"date","code","site","o3","o3_normalised"
2020-04-15,"GB6","Greenwich - Falconwood",22.6032942683395,19.4771104313358
2020-04-16,"GB6","Greenwich - Falconwood",18.1108333066803,19.1666119805047
2020-04-17,"GB6","Greenwich - Falconwood",29.9846146967244,18.8904156006659
2020-04-18,"GB6","Greenwich - Falconwood",22.9649434905164,19.1315895114341
2020-04-19,"GB6","Greenwich - Falconwood",26.9372532306144,19.2342943894111
2020-04-20,"GB6","Greenwich - Falconwood",28.4431054086302,19.6510858926437
2020-04-21,"GB6","Greenwich - Falconwood",30.7063046513983,19.3237791717804
2020-04-22,"GB6","Greenwich - Falconwood",29.2732712366263,19.0878122189998
2020-04-23,"GB6","Greenwich - Falconwood",26.5679202847024,19.0426424361323
2020-04-24,"GB6","Greenwich - Falconwood",27.0684535545953,19.3935154194498
2020-04-25,"GB6","Greenwich - Falconwood",34.3271163643318,19.6355357191793
2020-04-26,"GB6","Greenwich - Falconwood",28.7633171473919,19.5384983069975
2020-04-27,"GB6","Greenwich - Falconwood",27.1076384415413,18.930549610608
2020-04-28,"GB6","Greenwich - Falconwood",28.0678242532581,19.0362101463914
2020-04-29,"GB6","Greenwich - Falconwood",24.5379143722779,19.3013116746153
2020-04-30,"GB6","Greenwich - Falconwood",27.0676275573113,18.7730669968141
2020-05-01,"GB6","Greenwich - Falconwood",26.0890203119607,18.8247778331663
2020-05-02,"GB6","Greenwich - Falconwood",27.4217600665526,19.0732832305527
2020-05-03,"GB6","Greenwich - Falconwood",24.2580859877534,19.3874003451273
2020-05-04,"GB6","Greenwich - Falconwood",29.8876082348101,19.1792575767831
2020-05-05,"GB6","Greenwich - Falconwood",33.1151689285606,19.2103135439728
2020-05-06,"GB6","Greenwich - Falconwood",29.7418659473927,19.1721520261205
2020-05-07,"GB6","Greenwich - Falconwood",30.0463220587635,18.8802657551701
2020-05-08,"GB6","Greenwich - Falconwood",34.7399271818906,19.2360171405451
2020-05-09,"GB6","Greenwich - Falconwood",33.8218286117357,19.1239040251761
2020-05-10,"GB6","Greenwich - Falconwood",33.9864425972582,19.0648836116271
2020-05-11,"GB6","Greenwich - Falconwood",26.1839759985903,18.9259174709773
2020-05-12,"GB6","Greenwich - Falconwood",24.2713905874475,19.1815275986564
2020-05-13,"GB6","Greenwich - Falconwood",27.3679924869201,19.1730693403624
2020-05-14,"GB6","Greenwich - Falconwood",23.4848783005769,19.0279803254165
2020-05-15,"GB6","Greenwich - Falconwood",23.7441130679894,19.1502904164097
2020-05-16,"GB6","Greenwich - Falconwood",25.500519281134,18.7904875704507
2020-05-17,"GB6","Greenwich - Falconwood",26.8991373362535,18.9429457886007
2020-05-18,"GB6","Greenwich - Falconwood",29.295468710207,19.0665621887146
2020-05-19,"GB6","Greenwich - Falconwood",23.0415498656281,18.8772096952619
2020-05-20,"GB6","Greenwich - Falconwood",22.3780727908812,19.4529695545553
2020-05-21,"GB6","Greenwich - Falconwood",30.2145286958406,19.2597311262499
2020-05-22,"GB6","Greenwich - Falconwood",31.3514312128659,19.4773062796454
2020-05-23,"GB6","Greenwich - Falconwood",27.726945021265,19.391568218372
2020-05-24,"GB6","Greenwich - Falconwood",24.4382872532202,19.204387189587
2020-05-25,"GB6","Greenwich - Falconwood",24.9933693015933,19.2015215318793
2020-05-26,"GB6","Greenwich - Falconwood",24.6993202588324,19.0978072309259
2020-05-27,"GB6","Greenwich - Falconwood",20.9629250268563,18.9854484911613
2020-05-28,"GB6","Greenwich - Falconwood",25.3886793608354,19.1583297319063
2020-05-29,"GB6","Greenwich - Falconwood",24.4872415186729,18.9990862408746
2020-05-30,"GB6","Greenwich - Falconwood",31.6270598863234,19.3253396775534
2020-05-31,"GB6","Greenwich - Falconwood",32.5733553367141,19.2560491785253
2020-06-01,"GB6","Greenwich - Falconwood",25.6489229301422,19.5055211702752
2020-06-02,"GB6","Greenwich - Falconwood",25.8203455235985,18.9014941340991
2020-06-03,"GB6","Greenwich - Falconwood",21.4366605888386,19.0583193211985
2020-06-04,"GB6","Greenwich - Falconwood",23.3521811780604,18.9946464333711
2020-06-05,"GB6","Greenwich - Falconwood",23.102427061603,19.2900452818245
2020-06-06,"GB6","Greenwich - Falconwood",20.9660842595609,19.1689137607193
2020-06-07,"GB6","Greenwich - Falconwood",14.3151132413859,19.0575995197819
2020-06-08,"GB6","Greenwich - Falconwood",18.9923692334451,18.4289388421783
2020-06-09,"GB6","Greenwich - Falconwood",21.0166199638818,18.8675388023935
2020-06-10,"GB6","Greenwich - Falconwood",20.422222198722,18.9019512777743
2020-06-11,"GB6","Greenwich - Falconwood",20.260086131387,18.6299063781404
2020-06-12,"GB6","Greenwich - Falconwood",17.6378858495821,18.9079667358129
2020-06-13,"GB6","Greenwich - Falconwood",15.837173382234,18.5824023521767
2020-06-14,"GB6","Greenwich - Falconwood",20.6461869595417,18.8767414741213
2020-06-15,"GB6","Greenwich - Falconwood",19.0678969058596,18.8077622981054
2020-06-16,"GB6","Greenwich - Falconwood",21.8841221870939,18.9250798961659
2020-06-17,"GB6","Greenwich - Falconwood",15.2307988183992,18.9123074359999
2020-06-18,"GB6","Greenwich - Falconwood",21.2806462225933,18.6175165651728
2020-06-19,"GB6","Greenwich - Falconwood",22.1299999840701,18.9509075441486
2020-06-20,"GB6","Greenwich - Falconwood",18.7174272741147,18.9278076416448
